"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2023-04-01 12:04:20",219019094,35.89188,-5.49548,43.0,0.0,43,5,9619969,"MARIBO MAERSK","OWJJ2",71,146,253,30,30,15.4,"DEWVN > MAPTM","04-01 01:30"
"2023-04-01 12:04:31",374859000,39.36936,25.46199,202.1,15.7,201,0,9708679,"MSC MAYA","3EZI",71,145,251,36,23,13.5,"GR PIR","04-01 22:00"
"2023-04-01 12:04:55",228386700,36.08590,-3.80907,81.0,18.6,76,0,9839179,"CMACGM JACQUES SAADE","FLZE",74,116,284,38,24,15.7,"EGZZ1","04-06 02:00"
"2023-04-01 12:04:56",248758000,51.97778,2.46537,164.5,0.9,265,0,9776420,"CMA CGM JEAN MERMOZ","9HA4798",71,128,271,29,29,14.6,"FRDKK","04-01 22:00"
"2023-04-01 12:04:57",219629000,30.52940,122.48695,283.8,6.2,282,0,9632131,"MARGRETHE MAERSK","OWYZ2",71,146,253,30,30,12.2,"CN NGB > CN SGH","04-01 13:00"
"2023-04-01 12:04:57",355906000,1.27684,103.75599,33.3,0.0,301,5,9703291,"MSC OSCAR","3FBT7",71,145,251,36,23,13.5,"SINGAPORE","03-31 22:00"
"2023-04-01 12:04:58",228386800,36.22896,-2.77711,265.7,8.8,273,0,9839131,"CC CHAMPS ELYSEES","FLZF",71,114,285,24,37,15.8,"ESALG","04-02 04:00"
"2023-04-01 12:07:16",352757000,29.89123,122.82922,281.2,0.0,98,1,9703318,"MSC ZOE","3FQA",71,145,251,36,23,11.8,"CNNGB","04-02 20:00"
"2023-04-01 12:09:14",248794000,34.34468,128.79697,217.1,12.6,217,0,9776432,"CMACGM LOUIS BLERIOT","9HA4811",71,128,271,29,29,11.4,"NINGBO","04-03 00:30"
"2023-04-01 12:12:48",636017506,22.57087,114.27005,15.4,0.1,321,0,9762326,"MSC JADE","D5LH6",71,146,253,36,23,10.7,"YANTIAN","04-01 11:00"
"2023-04-01 12:29:30",219646000,35.70290,123.15210,358.7,17.3,358,0,9632179,"MATHILDE MAERSK","OWZW2",71,146,253,30,30,12.7,"CN HSK","04-02 13:00"
"2023-04-01 13:02:10",228394600,11.89142,112.01301,50.3,16.0,50,0,9839181,"CMA CGM PALAIS ROYAL","FMMT",71,116,284,35,27,10.8,"MYPKG > KRPUS","04-06 03:00"
"2023-04-01 18:00:01",374859000,37.88483,24.50154,228.9,17.8,230,0,9708679,"MSC MAYA","3EZI",71,145,251,36,23,13.5,"GR PIR","04-01 22:00"
"2023-04-01 18:01:15",352757000,29.88923,122.83062,235.6,0.1,6,1,9703318,"MSC ZOE","3FQA",71,145,251,36,23,11.8,"CNNGB","04-02 20:00"
"2023-04-01 18:02:48",219629000,30.61317,122.07432,289.2,0.0,306,5,9632131,"MARGRETHE MAERSK","OWYZ2",71,146,253,30,30,12.2,"CN NGB > CN SGH","04-01 13:00"
